Source,AName,AType,ASource,Target,BName,BType,BSource
FD00225,activated protein c resistance,disease,faers,FG2954,SERPINF2,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG2619,PLG,gene,MalaCards
FD00225,activated protein c resistance,disease,faers,FG2975,SHBG,gene,MalaCards
FD00236,acute chest syndrome,disease,faers,FG2396,NOS3,gene,MalaCards
FD00236,acute chest syndrome,disease,faers,FG3472,VCAM1,gene,MalaCards
FD00236,acute chest syndrome,disease,faers,FG2605,PLA2G2A,gene,MalaCards
FD00238,acute cutaneous lupus erythematosus,disease,faers,FG3389,TRIM21,gene,MalaCards
FD00239,acute disseminated encephalomyelitis,disease,faers,FG1881,MBP,gene,MalaCards
FD00239,acute disseminated encephalomyelitis,disease,faers,FG1347,HCRT,gene,MalaCards
FD00239,acute disseminated encephalomyelitis,disease,faers,FG1446,HSPD1,gene,MalaCards
FD00248,acute graft versus host disease,disease,faers,FG0206,ARHGAP45,gene,MalaCards
FD00248,acute graft versus host disease,disease,faers,FG0679,CSF3,gene,MalaCards
FD00248,acute graft versus host disease,disease,faers,FG3330,TNF,gene,MalaCards
FD00248,acute graft versus host disease,disease,faers,FG1534,IL2RA,gene,MalaCards
FD00248,acute graft versus host disease,disease,faers,FG1482,IFNG,gene,MalaCards
FD00248,acute graft versus host disease,disease,faers,FG1526,IL2,gene,MalaCards
FD00248,acute graft versus host disease,disease,faers,FG1506,IL10,gene,MalaCards
FD00248,acute graft versus host disease,disease,faers,FG1535,IL2RB,gene,MalaCards
FD00248,acute graft versus host disease,disease,faers,FG1518,IL18,gene,MalaCards
FD00248,acute graft versus host disease,disease,faers,FG1539,IL4,gene,MalaCards
FD00248,acute graft versus host disease,disease,faers,FG3344,TNFRSF4,gene,MalaCards
FD00248,acute graft versus host disease,disease,faers,FG2390,NOD2,gene,MalaCards
FD00248,acute graft versus host disease,disease,faers,FG1037,FASLG,gene,MalaCards
FD00303,adams-oliver syndrome,disease,faers,FG0205,ARHGAP31,gene,MalaCards
FD00325,adenosine deaminase,disease,faers,FG0054,ADA,gene,MalaCards
FD00347,adhesion,disease,faers,FG1581,ITGB2,gene,MalaCards
FD00347,adhesion,disease,faers,FG2929,SELE,gene,MalaCards
FD00347,adhesion,disease,faers,FG2930,SELL,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG1911,MEN1,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG2651,POMC,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG0737,CYP11B2,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG0736,CYP11B1,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG1218,GIPR,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG0743,CYP21A2,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG0738,CYP17A1,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG0735,CYP11A1,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG0665,CRH,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG1427,HSD11B1,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG2827,REN,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG1884,MC2R,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG2692,PRKAR1A,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG1428,HSD11B2,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG1242,GNAS,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG0526,CDKN1C,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG1492,IGF2,gene,MalaCards
FD00378,adrenal adenoma,disease,faers,FG0080,ADM,gene,MalaCards
FD00392,adrenal insufficiency,disease,faers,FG2651,POMC,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG3361,TP53,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG0696,CTNNB1,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG1999,MIR195,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG2104,MIR483,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG1324,H19,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG1989,MIR184,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG2023,MIR214,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG2119,MIR503,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG2122,MIR511,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG1884,MC2R,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG1496,IGFBP2,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG2692,PRKAR1A,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG0738,CYP17A1,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG0735,CYP11A1,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG3179,STAR,gene,MalaCards
FD00401,adrenocortical carcinoma,disease,faers,FG1492,IGF2,gene,MalaCards
FD00406,adrenogenital syndrome,disease,faers,FG0743,CYP21A2,gene,MalaCards
FD00406,adrenogenital syndrome,disease,faers,FG1553,INHA,gene,MalaCards
FD00406,adrenogenital syndrome,disease,faers,FG3215,SYP,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG0018,ABCD1,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG0019,ABCD2,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG0035,ACOX1,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG0021,ABCD4,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG3023,SLC27A2,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG3011,SLC25A17,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG0900,EHHADH,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG0020,ABCD3,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG0011,ABCB6,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG0280,BCAP31,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG0404,CAT,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG2232,MOG,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG1432,HSD17B4,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG2660,PPARA,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG2921,SCP2,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG1331,HADHB,gene,MalaCards
FD00407,adrenoleukodystrophy,disease,faers,FG1677,L1CAM,gene,MalaCards
FD00415,advanced sleep phase,disease,faers,FG2563,PER2,gene,MalaCards
FD00420,adverse reaction,disease,faers,FG1377,HLA-B,gene,MalaCards
FD00420,adverse reaction,disease,faers,FG1037,FASLG,gene,MalaCards
FD00420,adverse reaction,disease,faers,FG1322,GZMB,gene,MalaCards
FD00420,adverse reaction,disease,faers,FG1036,FAS,gene,MalaCards
FD00420,adverse reaction,disease,faers,FG1447,HSPG2,gene,MalaCards
FD00420,adverse reaction,disease,faers,FG3283,TGM1,gene,MalaCards
FD00431,age-related macular degeneration,disease,faers,FG1041,FBLN5,gene,MalaCards
FD00441,agoraphobia,disease,faers,FG1449,HTR1A,gene,MalaCards
FD00441,agoraphobia,disease,faers,FG1852,MAOA,gene,MalaCards
FD00441,agoraphobia,disease,faers,FG2755,PTK7,gene,MalaCards
FD00441,agoraphobia,disease,faers,FG0425,CCKBR,gene,MalaCards
FD00441,agoraphobia,disease,faers,FG3049,SLC6A2,gene,MalaCards
FD00444,aicardi-goutieres syndrome,disease,faers,FG3386,TREX1,gene,MalaCards
FD00444,aicardi-goutieres syndrome,disease,faers,FG1881,MBP,gene,MalaCards
FD00452,akinesia,disease,faers,FG2294,MUSK,gene,MalaCards
FD00453,alagille syndrome,disease,faers,FG1589,JAG1,gene,MalaCards
FD00453,alagille syndrome,disease,faers,FG2398,NOTCH2,gene,MalaCards
FD00453,alagille syndrome,disease,faers,FG2397,NOTCH1,gene,MalaCards
FD00453,alagille syndrome,disease,faers,FG0244,ATP8B1,gene,MalaCards
FD00453,alagille syndrome,disease,faers,FG0010,ABCB4,gene,MalaCards
FD00453,alagille syndrome,disease,faers,FG0177,APOA1,gene,MalaCards
FD00453,alagille syndrome,disease,faers,FG1689,LCAT,gene,MalaCards
FD00458,albinism,disease,faers,FG2194,MITF,gene,MalaCards
FD00473,alcohol use,disease,faers,FG0131,ALDH2,gene,MalaCards
FD00473,alcohol use,disease,faers,FG0863,DRD2,gene,MalaCards
FD00473,alcohol use,disease,faers,FG0074,ADH1C,gene,MalaCards
FD00473,alcohol use,disease,faers,FG3051,SLC6A4,gene,MalaCards
FD00473,alcohol use,disease,faers,FG1207,GGT1,gene,MalaCards
FD00473,alcohol use,disease,faers,FG1271,GPT,gene,MalaCards
FD00473,alcohol use,disease,faers,FG0864,DRD3,gene,MalaCards
FD00473,alcohol use,disease,faers,FG0752,CYP2E1,gene,MalaCards
FD00473,alcohol use,disease,faers,FG3264,TF,gene,MalaCards
FD00473,alcohol use,disease,faers,FG0134,ALDH9A1,gene,MalaCards
FD00473,alcohol use,disease,faers,FG0012,ABCB7,gene,MalaCards
FD00473,alcohol use,disease,faers,FG2995,SLC17A5,gene,MalaCards
FD00473,alcohol use,disease,faers,FG2474,OPRM1,gene,MalaCards
FD00473,alcohol use,disease,faers,FG1363,HFE,gene,MalaCards
FD00473,alcohol use,disease,faers,FG3050,SLC6A3,gene,MalaCards
FD00473,alcohol use,disease,faers,FG0643,COMT,gene,MalaCards
FD00473,alcohol use,disease,faers,FG0661,CREB1,gene,MalaCards
FD00473,alcohol use,disease,faers,FG1172,GAL,gene,MalaCards
FD00473,alcohol use,disease,faers,FG0116,AKR1A1,gene,MalaCards
FD00473,alcohol use,disease,faers,FG0628,COG2,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG0131,ALDH2,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG0863,DRD2,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG0074,ADH1C,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG3051,SLC6A4,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG1207,GGT1,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG1271,GPT,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG0864,DRD3,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG0752,CYP2E1,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG3264,TF,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG0134,ALDH9A1,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG0012,ABCB7,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG2995,SLC17A5,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG2474,OPRM1,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG1363,HFE,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG3050,SLC6A3,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG0643,COMT,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG0661,CREB1,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG1172,GAL,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG0116,AKR1A1,gene,MalaCards
FD00474,alcohol use disorder,disease,faers,FG0628,COG2,gene,MalaCards
FD00476,alcoholic,disease,faers,FG1009,FABP1,gene,MalaCards
FD00476,alcoholic,disease,faers,FG1271,GPT,gene,MalaCards
FD00476,alcoholic,disease,faers,FG1559,INS,gene,MalaCards
FD00476,alcoholic,disease,faers,FG2995,SLC17A5,gene,MalaCards
FD00476,alcoholic,disease,faers,FG0077,ADIPOQ,gene,MalaCards
FD00476,alcoholic,disease,faers,FG1207,GGT1,gene,MalaCards
FD00476,alcoholic,disease,faers,FG1330,HADHA,gene,MalaCards
FD00476,alcoholic,disease,faers,FG2660,PPARA,gene,MalaCards
FD00476,alcoholic,disease,faers,FG2283,MTTP,gene,MalaCards
FD00476,alcoholic,disease,faers,FG1701,LEP,gene,MalaCards
FD00476,alcoholic,disease,faers,FG2832,RETN,gene,MalaCards
FD00479,alcoholic pancreatitis,disease,faers,FG3141,SPINK1,gene,MalaCards
FD00479,alcoholic pancreatitis,disease,faers,FG0073,ADH1B,gene,MalaCards
FD00479,alcoholic pancreatitis,disease,faers,FG0559,CFTR,gene,MalaCards
FD00479,alcoholic pancreatitis,disease,faers,FG0752,CYP2E1,gene,MalaCards
FD00479,alcoholic pancreatitis,disease,faers,FG0074,ADH1C,gene,MalaCards
FD00479,alcoholic pancreatitis,disease,faers,FG0131,ALDH2,gene,MalaCards
FD00479,alcoholic pancreatitis,disease,faers,FG0423,CCK,gene,MalaCards
FD00479,alcoholic pancreatitis,disease,faers,FG0648,CPB1,gene,MalaCards
FD00479,alcoholic pancreatitis,disease,faers,FG2922,SCT,gene,MalaCards
FD00481,alcoholic psychosis,disease,faers,FG3051,SLC6A4,gene,MalaCards
FD00485,alexander disease,disease,faers,FG1204,GFAP,gene,MalaCards
FD00485,alexander disease,disease,faers,FG0673,CRYAB,gene,MalaCards
FD00485,alexander disease,disease,faers,FG1443,HSPB1,gene,MalaCards
FD00489,alkaptonuria,disease,faers,FG1364,HGD,gene,MalaCards
FD00489,alkaptonuria,disease,faers,FG1019,FAH,gene,MalaCards
FD00490,allan-herndon-dudley syndrome,disease,faers,FG2994,SLC16A2,gene,MalaCards
FD00534,alopecia universalis,disease,faers,FG1422,HR,gene,MalaCards
FD00556,alternating hemiplegia of childhood,disease,faers,FG0236,ATP1A2,gene,MalaCards
FD00559,alveolar capillary dysplasia,disease,faers,FG1115,FOXF1,gene,MalaCards
FD00565,alveolar soft part sarcoma,disease,faers,FG3268,TFE3,gene,MalaCards
FD00565,alveolar soft part sarcoma,disease,faers,FG2314,MYOD1,gene,MalaCards
FD00565,alveolar soft part sarcoma,disease,faers,FG1877,MB,gene,MalaCards
FD00565,alveolar soft part sarcoma,disease,faers,FG2315,MYOG,gene,MalaCards
FD00565,alveolar soft part sarcoma,disease,faers,FG0923,ENO2,gene,MalaCards
FD00565,alveolar soft part sarcoma,disease,faers,FG0799,DES,gene,MalaCards
FD00565,alveolar soft part sarcoma,disease,faers,FG3481,VIM,gene,MalaCards
FD00565,alveolar soft part sarcoma,disease,faers,FG2202,MLH1,gene,MalaCards
FD00567,alveolitis,disease,faers,FG0723,CXCL8,gene,MalaCards
FD00567,alveolitis,disease,faers,FG2966,SFTPD,gene,MalaCards
FD00567,alveolitis,disease,faers,FG3118,SOD2,gene,MalaCards
FD00567,alveolitis,disease,faers,FG1049,FCER2,gene,MalaCards
FD00567,alveolitis,disease,faers,FG0435,CCL3,gene,MalaCards
FD00567,alveolitis,disease,faers,FG2577,PI3,gene,MalaCards
FD00567,alveolitis,disease,faers,FG1501,IGHE,gene,MalaCards
FD00567,alveolitis,disease,faers,FG0727,CXCR3,gene,MalaCards
FD00567,alveolitis,disease,faers,FG0437,CCL5,gene,MalaCards
FD00567,alveolitis,disease,faers,FG0721,CXCL5,gene,MalaCards
FD00567,alveolitis,disease,faers,FG1534,IL2RA,gene,MalaCards
FD00567,alveolitis,disease,faers,FG0429,CCL2,gene,MalaCards
FD00567,alveolitis,disease,faers,FG1514,IL15,gene,MalaCards
FD00567,alveolitis,disease,faers,FG1518,IL18,gene,MalaCards
FD00567,alveolitis,disease,faers,FG1103,FN1,gene,MalaCards
FD00567,alveolitis,disease,faers,FG2930,SELL,gene,MalaCards
FD00567,alveolitis,disease,faers,FG0908,ELANE,gene,MalaCards
FD00567,alveolitis,disease,faers,FG1577,ITGAL,gene,MalaCards
FD00567,alveolitis,disease,faers,FG1521,IL1A,gene,MalaCards
FD00567,alveolitis,disease,faers,FG0495,CD80,gene,MalaCards
FD00570,amaurosis,disease,faers,FG1317,GUCY2D,gene,MalaCards
FD00570,amaurosis,disease,faers,FG0660,CRB1,gene,MalaCards
FD00570,amaurosis,disease,faers,FG1688,LCA5,gene,MalaCards
FD00570,amaurosis,disease,faers,FG3420,TULP1,gene,MalaCards
FD00570,amaurosis,disease,faers,FG0671,CRX,gene,MalaCards
FD00570,amaurosis,disease,faers,FG2862,RPGRIP1,gene,MalaCards
FD00570,amaurosis,disease,faers,FG2714,PROM1,gene,MalaCards
FD00574,amegakaryocytic thrombocytopenia,disease,faers,FG2234,MPL,gene,MalaCards
FD00574,amegakaryocytic thrombocytopenia,disease,faers,FG3291,THPO,gene,MalaCards
FD00574,amegakaryocytic thrombocytopenia,disease,faers,FG1536,IL3,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG0148,AMBN,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG2740,PTCH1,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG2940,SERPINA3,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG1662,KRT14,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG1666,KRT19,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG3348,TNFSF11,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG0369,CALB2,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG1674,KRT8,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG2217,MMP2,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG1228,GLI1,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG1665,KRT18,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG0330,BSG,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG1659,KRT1,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG3263,TERT,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG2218,MMP20,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG3347,TNFSF10,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG0525,CDKN1B,gene,MalaCards
FD00576,ameloblastoma,disease,faers,FG2527,PCNA,gene,MalaCards
FD00586,aminoaciduria,disease,faers,FG3002,SLC1A1,gene,MalaCards
FD00593,amnestic disorder,disease,faers,FG2682,PREP,gene,MalaCards
FD00593,amnestic disorder,disease,faers,FG0565,CHAT,gene,MalaCards
FD00593,amnestic disorder,disease,faers,FG3408,TSPO,gene,MalaCards
FD00593,amnestic disorder,disease,faers,FG0033,ACHE,gene,MalaCards
FD00593,amnestic disorder,disease,faers,FG1449,HTR1A,gene,MalaCards
FD00593,amnestic disorder,disease,faers,FG1457,HTR3A,gene,MalaCards
FD00593,amnestic disorder,disease,faers,FG2471,OPRD1,gene,MalaCards
FD00593,amnestic disorder,disease,faers,FG2474,OPRM1,gene,MalaCards
FD00593,amnestic disorder,disease,faers,FG2558,PDYN,gene,MalaCards
FD00593,amnestic disorder,disease,faers,FG2472,OPRK1,gene,MalaCards
FD00593,amnestic disorder,disease,faers,FG1169,GAD1,gene,MalaCards
FD00617,amylase,disease,faers,FG2478,OTC,gene,MalaCards
FD00617,amylase,disease,faers,FG0226,ASS1,gene,MalaCards
FD00617,amylase,disease,faers,FG0653,CPS1,gene,MalaCards
FD00617,amylase,disease,faers,FG0221,ASL,gene,MalaCards
FD00617,amylase,disease,faers,FG0858,DPYD,gene,MalaCards
FD00623,amyloidosis,disease,faers,FG1305,GSN,gene,MalaCards
FD00623,amyloidosis,disease,faers,FG3415,TTR,gene,MalaCards
FD00623,amyloidosis,disease,faers,FG0185,APOE,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG3117,SOD1,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG0782,DCTN1,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG1085,FIG4,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG2350,NEFH,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG2718,PRPH,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG3473,VCP,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG3229,TARDBP,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG3469,VAPB,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG0154,ANG,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG3152,SQSTM1,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG2652,PON1,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG2349,NEAT1,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG1849,MALAT1,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG0146,ALS2,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG2958,SETX,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG3003,SLC1A2,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG0625,CNTF,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG1871,MAPT,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG1203,GDNF,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG3004,SLC1A3,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG1299,GRN,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG0293,BDNF,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG2351,NEFL,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG3077,SMN1,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG1204,GFAP,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG1461,HTT,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG0188,APP,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG3078,SMN2,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG2850,RNF19A,gene,MalaCards
FD00625,amyotrophic lateral sclerosis,disease,faers,FG1490,IGF1,gene,MalaCards
